The log file is created on Tue Feb 25 20:12:06 2025

[Computer Name]     DESKTOP-D851ENJ

[Operating System]  Microsoft Windows (newer OS) [Version ] 

[SPEED Simulator]   SPDSIM2000 version 24.0.0.05151.504415   000

[SPEED File]        D:\Projects\HardwareDesign\Sigrity\conference\result\2\Chan_Typ_Typ\temp\channel_TX_LOWER_pos_neg_RX_PRIMARY.sp



[Time Steps]	[Mem Usage (M bytes)]	[Free Memory (M bytes)]	[Total CPU Time (hour:min:sec)]	[FDTD solver CPU Time (hour:min:sec)]	[Circuit solver CPU Time (hour:min:sec)]	[Peak Mem Usage (M bytes)]	[VM Size (M bytes)]

1		56.6758			16988.8			0: 0: 1			0: 0: 0					0: 0: 1					56.6797				176.508

1000		57.0508			16990.1			0: 0: 2			0: 0: 0			0: 0: 2			57.0547			176.777

2000		57.3438			16989.9			0: 0: 4			0: 0: 0			0: 0: 4			57.3477			177.074

3000		57.668			16991.8			0: 0: 6			0: 0: 0			0: 0: 6			57.6719			177.402

4000		58.4727			16998.5			0: 0: 8			0: 0: 0			0: 0: 8			58.4766			177.82

5000		58.793			17009.6			0: 0: 9			0: 0: 0			0: 0: 9			58.7969			178.152

6000		59.1133			16984.3			0: 0: 11			0: 0: 0			0: 0: 11			59.1172			178.477

7000		59.5117			16991.2			0: 0: 12			0: 0: 0			0: 0: 12			59.5156			178.91

8000		59.8281			17005.6			0: 0: 13			0: 0: 0			0: 0: 13			59.832			179.238

9000		60.25			16994.7			0: 0: 15			0: 0: 0			0: 0: 15			60.2539			179.668

10000		60.6172			16995.6			0: 0: 16			0: 0: 0			0: 0: 16			60.6211			180.062

11000		60.8828			16991.4			0: 0: 18			0: 0: 0			0: 0: 18			60.8867			180.359

12000		61.3477			16994.8			0: 0: 19			0: 0: 0			0: 0: 19			61.3516			180.863

13000		61.5938			16994.7			0: 0: 20			0: 0: 0			0: 0: 20			61.5977			181.09

14000		61.9297			16995.1			0: 0: 22			0: 0: 0			0: 0: 22			61.9336			181.453

15000		62.3555			16995.4			0: 0: 23			0: 0: 0			0: 0: 23			62.3594			181.887

