ui	rmin	rmax	fmin	fmax	
0	-0.01746944238581649	0.10028302399835	-0.1171061447108804	-0.01746944238581649	
0.03125	-0.01746944238581649	0.10028302399835	-0.1171061447108804	-0.01746944238581649	
0.0625	0.10028302399835	0	0	0	
0.09375	0.10028302399835	0	0	0	
0.125	0.1002829367531681	0.10028302399835	-0.1171061447108804	-0.1080481754361473	
0.15625	0.08216717269406555	0.10028302399835	-0.1171061447108804	-0.08993241137704473	
0.1875	0.07310929066451428	0.10028302399835	-0.1171061447108804	-0.08087452934749347	
0.21875	0.06405140863496302	0.10028302399835	-0.1171061447108804	-0.0718166473179422	
0.25	0.06405145225755397	0.10028302399835	-0.1171061447108804	-0.0718166473179422	
0.28125	0.06405145225755397	0.10028302399835	-0.1171061447108804	-0.08087460568702763	
0.3125	0.06405140863496302	0.10028302399835	-0.1171061447108804	-0.08087460568702763	
0.34375	0.07310929066451428	0.10028302399835	-0.1171061447108804	-0.0899324877165789	
0.375	0.08216721631665651	0.10028302399835	-0.1171061447108804	-0.08993245499963569	
0.40625	0.09122509834620778	0.10028302399835	-0.1171061447108804	-0.09899036320274152	
0.4375	0.100282980375759	0.10028302399835	-0.1171061447108804	-0.1080482481404655	
0.46875	0.1002829367531681	0.10028302399835	-0.1171061447108804	-0.117106132247283	
0.5	0.10028302399835	0	0	0	
0.53125	0.10028302399835	0	0	0	
0.5625	0.10028302399835	0	0	0	
0.59375	0.10028302399835	0	0	0	
0.625	0.10028302399835	0	0	0	
0.65625	0.10028302399835	0	0	0	
0.6875	0.10028302399835	0	0	0	
0.71875	0.10028302399835	0	0	0	
0.75	0.10028302399835	0	0	0	
0.78125	0.10028302399835	0	0	0	
0.8125	0.10028302399835	0	0	0	
0.84375	0.10028302399835	0	0	0	
0.875	0.10028302399835	0	0	0	
0.90625	0.10028302399835	0	0	0	
0.9375	0.10028302399835	0	0	0	
0.96875	0.10028302399835	0	0	0	
1	-0.01746944238581649	0.10028302399835	-0.1171061447108804	-0.01746944238581649	
