ui	rmin	rmax	fmin	fmax	
0	-0.002478765288151885	0.2751429469848615	-0.2652278858322538	-0.002478765288151885	
0.03125	-0.002478765288151885	0.2701854164085576	-0.2602703552559499	-0.002478765288151885	
0.0625	-0.002478765288151885	0.2701854164085576	-0.2602703552559499	-0.002478765288151885	
0.09375	-0.002478765288151885	0.2701854164085576	-0.2602703552559499	-0.002478765288151885	
0.125	-0.002478765288151885	0.2652278858322538	-0.2602703552559499	-0.002478765288151885	
0.15625	0.03718147932227861	0.2652278858322538	-0.2602703552559499	-0.03222394874597478	
0.1875	0.05205407105119003	0.2602703552559499	-0.2602703552559499	-0.05205407105118998	
0.21875	0.0669266627801014	0.2602703552559499	-0.2602703552559499	-0.06692666278010143	
0.25	0.08179925450901282	0.2602703552559499	-0.2602703552559499	-0.08179925450901282	
0.28125	0.09667184623792424	0.2553128246796462	-0.2602703552559499	-0.09667184623792427	
0.3125	0.1115444379668357	0.2553128246796462	-0.2553128246796461	-0.1115444379668357	
0.34375	0.1264170296957471	0.2503552941033423	-0.2553128246796461	-0.1264170296957471	
0.375	0.1412896214246586	0.2503552941033423	-0.2553128246796461	-0.1363320908483547	
0.40625	0.1512046825772662	0.2453977635270385	-0.2503552941033423	-0.1512046825772662	
0.4375	0.1611197437298738	0.2453977635270385	-0.2453977635270385	-0.1611197437298738	
0.46875	0.1710348048824814	0.2404402329507346	-0.2404402329507347	-0.1710348048824814	
0.5	0.1759923354587852	0.235482702374431	-0.2404402329507347	-0.180949866035089	
0.53125	0.1759923354587852	0.2305251717981271	-0.2404402329507347	-0.1859073966113928	
0.5625	0.1710348048824814	0.2305251717981271	-0.2404402329507347	-0.1759923354587852	
0.59375	0.1611197437298738	0.235482702374431	-0.2453977635270385	-0.1660772743061776	
0.625	0.1462471520009624	0.2404402329507346	-0.2503552941033423	-0.1512046825772662	
0.65625	0.131374560272051	0.2453977635270385	-0.2553128246796461	-0.1363320908483547	
0.6875	0.1115444379668357	0.2503552941033423	-0.2602703552559499	-0.1214594991194433	
0.71875	0.09667184623792424	0.2553128246796462	-0.2652278858322538	-0.1065869073905319	
0.75	0.07684172393270899	0.2553128246796462	-0.2701854164085576	-0.09171431566162044	
0.78125	0.06196913220379757	0.2602703552559499	-0.2701854164085576	-0.07188419335640525	
0.8125	0.04213900989858238	0.2602703552559499	-0.2751429469848614	-0.0570116016274938	
0.84375	0.02230888759336713	0.2602703552559499	-0.2751429469848614	-0.03718147932227861	
0.875	0.002478765288151885	0.2652278858322538	-0.2801004775611652	-0.01735135701706336	
0.90625	-0.002478765288151885	0.2652278858322538	-0.2801004775611652	-0.002478765288151885	
0.9375	-0.002478765288151885	0.2701854164085576	-0.2801004775611652	-0.002478765288151885	
0.96875	-0.002478765288151885	0.2701854164085576	-0.2801004775611652	-0.002478765288151885	
1	-0.002478765288151885	0.2751429469848615	-0.2652278858322538	-0.002478765288151885	
