ui	rmin	rmax	fmin	fmax	
0	-0.01746944238581649	0.10028302399835	-0.1171061447108804	-0.01746944238581649	
0.03125	-0.01746944238581649	0.10028302399835	-0.1171061447108804	-0.01746944238581649	
0.0625	0.10028302399835	0	0	0	
0.09375	0.10028302399835	0	0	0	
0.125	0.09937723579539486	0.10028302399835	-0.1171061447108804	-0.107142474478374	
0.15625	0.08126147173629232	0.10028302399835	-0.1171061447108804	-0.0890267104192715	
0.1875	0.07220358970674105	0.10028302399835	-0.1171061447108804	-0.07996882838972023	
0.21875	0.06314570767718979	0.10028302399835	-0.1171061447108804	-0.07091094636016897	
0.25	0.06359860177866736	0.10028302399835	-0.1171061447108804	-0.07091094636016897	
0.28125	0.06359860177866736	0.10028302399835	-0.1171061447108804	-0.08076139306730597	
0.3125	0.06314570767718979	0.10028302399835	-0.1171061447108804	-0.08076139306730597	
0.34375	0.07220358970674105	0.10028302399835	-0.1171061447108804	-0.08981927509685723	
0.375	0.08171436583776989	0.10028302399835	-0.1171061447108804	-0.08947960452074907	
0.40625	0.09077224786732116	0.10028302399835	-0.1171061447108804	-0.09880922301118687	
0.4375	0.09983012989687243	0.10028302399835	-0.1171061447108804	-0.1078972979808367	
0.46875	0.09937723579539486	0.10028302399835	-0.1171061447108804	-0.1169767463961726	
0.5	0.10028302399835	0	0	0	
0.53125	0.10028302399835	0	0	0	
0.5625	0.10028302399835	0	0	0	
0.59375	0.10028302399835	0	0	0	
0.625	0.10028302399835	0	0	0	
0.65625	0.10028302399835	0	0	0	
0.6875	0.10028302399835	0	0	0	
0.71875	0.10028302399835	0	0	0	
0.75	0.10028302399835	0	0	0	
0.78125	0.10028302399835	0	0	0	
0.8125	0.10028302399835	0	0	0	
0.84375	0.10028302399835	0	0	0	
0.875	0.10028302399835	0	0	0	
0.90625	0.10028302399835	0	0	0	
0.9375	0.10028302399835	0	0	0	
0.96875	0.10028302399835	0	0	0	
1	-0.01746944238581649	0.10028302399835	-0.1171061447108804	-0.01746944238581649	
