ui	rmin	rmax	fmin	fmax	
0	-0.2258007290654956	-0.1171061447108804	-0.3254374313905596	-0.2258007290654956	
0.03125	-0.2258007290654956	-0.1171061447108804	-0.3254374313905596	-0.2258007290654956	
0.0625	-0.2258007290654956	-0.1623955548586368	-0.3254374313905596	-0.2258007290654956	
0.09375	-0.2258007290654956	-0.135221908769983	-0.3254374313905596	-0.2258007290654956	
0.125	-0.2258007290654956	-0.1171061447108804	-0.3254374313905596	-0.2258007290654956	
0.15625	-0.2258007290654956	-0.1171061447108804	-0.3254374313905596	-0.2258007290654956	
0.1875	-0.2258007290654956	-0.1171061447108804	-0.3254374313905596	-0.2258007290654956	
0.21875	-0.2258007290654956	-0.1171061447108804	-0.3254374313905596	-0.2258007290654956	
0.25	-0.2258007290654956	-0.1171061447108804	-0.3254374313905596	-0.2258007290654956	
0.28125	-0.2258007290654956	-0.1171061447108804	-0.3254374313905596	-0.2258007290654956	
0.3125	-0.2258007290654956	-0.1171061447108804	-0.3254374313905596	-0.2258007290654956	
0.34375	-0.2258007290654956	-0.1171061447108804	-0.3254374313905596	-0.2258007290654956	
0.375	-0.2258007290654956	-0.1171061447108804	-0.3254374313905596	-0.2258007290654956	
0.40625	-0.2258007290654956	-0.1171061447108804	-0.3254374313905596	-0.2258007290654956	
0.4375	-0.2258007290654956	-0.1171061447108804	-0.3254374313905596	-0.2258007290654956	
0.46875	-0.2258007290654956	-0.1171061447108804	-0.3254374313905596	-0.2258007290654956	
0.5	-0.2258007290654956	-0.1261640267404317	-0.3254374313905596	-0.2258007290654956	
0.53125	-0.2258007290654956	-0.1261640267404317	-0.3254374313905596	-0.2258007290654956	
0.5625	-0.2258007290654956	-0.135221908769983	-0.3254374313905596	-0.2258007290654956	
0.59375	-0.2258007290654956	-0.1442797907995342	-0.3254374313905596	-0.2258007290654956	
0.625	-0.2258007290654956	-0.1442797907995342	-0.3254374313905596	-0.2258007290654956	
0.65625	-0.2258007290654956	-0.1533376728290855	-0.3254374313905596	-0.2258007290654956	
0.6875	-0.2258007290654956	-0.1623955548586368	-0.3254374313905596	-0.2258007290654956	
0.71875	-0.2258007290654956	-0.1623955548586368	-0.3254374313905596	-0.2258007290654956	
0.75	-0.2258007290654956	-0.171453436888188	-0.3254374313905596	-0.2258007290654956	
0.78125	-0.2258007290654956	-0.1805113189177393	-0.3254374313905596	-0.2258007290654956	
0.8125	-0.2258007290654956	-0.1805113189177393	-0.3254374313905596	-0.2258007290654956	
0.84375	-0.2258007290654956	-0.1895692009472906	-0.3254374313905596	-0.2258007290654956	
0.875	-0.2258007290654956	-0.1895692009472906	-0.3254374313905596	-0.2258007290654956	
0.90625	-0.2258007290654956	-0.1986270829768418	-0.3254374313905596	-0.2258007290654956	
0.9375	-0.2258007290654956	-0.1986270829768418	-0.3254374313905596	-0.2258007290654956	
0.96875	-0.2258007290654956	-0.2076849650063931	-0.3254374313905596	-0.2258007290654956	
1	-0.2258007290654956	-0.1171061447108804	-0.3254374313905596	-0.2258007290654956	
