The log file is created on Tue Feb 25 19:52:02 2025

[Computer Name]     DESKTOP-D851ENJ

[Operating System]  Microsoft Windows (newer OS) [Version ] 

[SPEED Simulator]   SPDSIM2000 version 24.0.0.05151.504415   000

[SPEED File]        D:\Projects\HardwareDesign\Sigrity\conference\result\1\Chan_Typ_Typ\temp1\channel_TX_PRIMARY_pos_neg_RX_PRIMARY.sp



[Time Steps]	[Mem Usage (M bytes)]	[Free Memory (M bytes)]	[Total CPU Time (hour:min:sec)]	[FDTD solver CPU Time (hour:min:sec)]	[Circuit solver CPU Time (hour:min:sec)]	[Peak Mem Usage (M bytes)]	[VM Size (M bytes)]

1		56.5352			16551.5			0: 0: 0			0: 0: 0					0: 0: 0					56.5391				176.258

1000		57.1758			16484.5			0: 0: 2			0: 0: 0			0: 0: 2			57.1797			176.832

2000		57.457			16455.7			0: 0: 3			0: 0: 0			0: 0: 3			57.4609			177.102

3000		57.7891			16410.4			0: 0: 5			0: 0: 0			0: 0: 5			57.793			177.441

4000		58.5703			16421.1			0: 0: 6			0: 0: 0			0: 0: 6			58.5742			177.844

5000		58.9531			16423.7			0: 0: 7			0: 0: 0			0: 0: 7			58.957			178.242

6000		59.3359			16415.6			0: 0: 8			0: 0: 0			0: 0: 8			59.3398			178.641

7000		59.707			16428.4			0: 0: 10			0: 0: 0			0: 0: 10			59.7109			179.039

8000		60.0508			16453.6			0: 0: 11			0: 0: 0			0: 0: 11			60.0547			179.395

9000		60.4727			16453.4			0: 0: 12			0: 0: 0			0: 0: 12			60.4766			179.828

10000		60.6914			16453.6			0: 0: 14			0: 0: 0			0: 0: 14			60.6953			180.051

11000		61.0664			16453.6			0: 0: 15			0: 0: 0			0: 0: 15			61.0703			180.449

12000		61.4062			16456			0: 0: 16			0: 0: 0			0: 0: 16			61.4102			180.812

13000		61.7422			16460			0: 0: 18			0: 0: 0			0: 0: 18			61.7461			181.176

14000		62.1836			16460.5			0: 0: 19			0: 0: 0			0: 0: 19			62.1875			181.609

15000		62.5117			16457.5			0: 0: 20			0: 0: 0			0: 0: 20			62.5156			181.977

