POS;REFDES;PART_NUMBER;VALUE;DEVICE_TYPE;X;Y;ROTATION;MIRROR
1;C1;NA;GRM033D70E105ME15D;GRM033D70E105ME15D_CAPC0603X33N_GRM033D70E105ME15D;113.030;249.428;270.000;TOP
2;IC1;NA;ST232ACDR;ST232ACDR_SOIC127P600X175-16N_ST232ACDR;106.680;247.396;0.000;TOP
3;J1;NA;219320-0001;219320-0001_2193200001_219320-0001;102.362;237.744;0.000;TOP
4;J2;NA;RJE741AA1410A;RJE741AA1410A_RJE741AA1410A_RJE741AA1410A;96.774;256.032;180.000;TOP
